ID,Language1,Language2,Age,Nationality,Coordinates,Gender
S116,,,,,,
S43,English,,20-24,British,"(51.52, 0.19)",Female
S112,,,,,,
S92,Malayalam,Hindi,25-29,Indian,"(51.5912,0.1046)",Male
S185,Vietnamese,English,25-29,Vietnamese,"(51.52, -0.04)",Male
S80,English,,25-29,Nigerian,"(6.5244, 3.3792)",Male
S186,English,,20-24,British,"(51.8032, 0.2087)",Female
S122,Hindi,English,35-39,Indian,"(28.45,77.02)",Male
S219,,,,,,
S53,Chinese,English,20-24,Chinese,"(39.9, 116.4)",Male
S118,Chinese,English,20-24,Chinese,"(39.13, 117.18)",Male
S103,Malayalam,English,25-29,Indian,"(9.93, 76.26)",Male
S164,Hindi,Marathi,25-29,Indian,"(19.5525, 74.1945)",Male
S187,Gujarati,English,20-24,British,"(51.5848, 0.2787)",Male
S79,English,Gujarati,20-24,British,"(51.55, 1.78)",Female
S35,,,,,,
S170,Marathi,English,25-29,Indian,"(19.42,72.81)",Male
S32,Hindi,English,25-29,Indian,"(22.9504, 76.0317)",Male
S91,Telugu,Hindi,25-29,Indian,"(16.998560, 81.802367)",Male
S195,Vietnamese,English,20-24,Vietnamese,"(21.03, 105.83)",Male
S2,,,,,,
S134,,,,,,
S100,Hindi,English,20-24,Indian,"(19.01, 73.01)",Male
S200,English,Romanian,20-24,British,"(51.49104, -3.18103)",Female
S17,,,,,,
S101,,,,,,
S52,Spanish,English,20-24,Colombian,"(10.97,-74.80)",Female
S127,Urdu,English,25-29,Irish,"(31.48, 74.40)",Male
S38,,,,,,
S176,English,Bengali,20-24,British,"(51.52, 0.03)",Female
S3,Telugu,English,20-24,Indian,"(12.97, 77.59)",Male
S147,English,Tamil,25-29,Indian,"(13.08, 80.27)",Male
S181,,,,,,
S157,,,,,,
S131,,,,,,
S138,,,,,,
S218,Hindi,English,20-24,Indian,"(20.5937, 78.9629)",Male
S196,Malayalam,English,20-24,Indian,"(9.9312, 76.2673)",Female
S25,,,,,,
S78,English,,20-24,British,"(51.57900, 0.18500)",Male
S37,,,,,,
S39,Tamil,English,20-24,Indian,"(51.52, -0.04)",Male
S126,Hindi,English,20-24,Indian,"(28.7,77.1)",Female
S104,Gujarati,English,20-24,Indian,"(23.0225, 72.5714)",Male
S133,English,Urdu,20-24,British,"(51.5072, 0.1276)",Male
S58,Urdu,English,25-29,Pakistani,"(24.86, 67.00)",Male
S216,English,Hindi,20-24,Indian,"(51.5082, 0.0014)",Male
S66,English,Urdu,20-24,Pakistani,"(24.860735,67.001137)",Male
S198,English,Spanish,25-29,British,"(51.43,-0.17)",Male
S203,English,Marathi,25-29,British,"(51.547513,0.141118)",Male
S9,,,,,,
